id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_per_sqft_living,age_of_house
822039084,20150311T000000,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,490.37413730475845,72
2025069065,20140929T000000,2400000.0,4,2.5,3650,8354,1.0,1,4,3,9,1830,1820,2000,0,98074,47.6338,-122.072,3120,18841,657.5342465753424,25
3225069065,20140624T000000,3075000.0,4,5.0,4550,18641,1.0,1,4,3,10,2600,1950,2002,0,98074,47.6053,-122.077,4550,19508,675.8241758241758,23
622049114,20150218T000000,2125000.0,3,2.5,5403,24069,2.0,1,4,4,12,5403,0,1976,0,98166,47.4169,-122.348,3980,104374,393.3000185082362,49
3760500116,20141120T000000,3070000.0,3,2.5,3930,55867,1.0,1,4,4,8,2330,1600,1957,0,98034,47.7022,-122.224,2730,26324,781.1704834605598,68
4055701200,20150421T000000,1955000.0,4,2.75,3120,7898,1.0,1,4,4,8,1560,1560,1963,0,98034,47.7165,-122.259,2630,13868,626.6025641025641,62
8069000075,20141229T000000,790000.0,4,1.75,2460,10061,1.0,1,4,3,7,1410,1050,1961,0,98178,47.5105,-122.238,2300,10061,321.1382113821138,64
1247600105,20141020T000000,5110800.0,5,5.25,8010,45517,2.0,1,4,3,12,5990,2020,1999,0,98033,47.6767,-122.211,3430,26788,638.0524344569288,26
7636800041,20140625T000000,995000.0,3,4.5,4380,47044,2.0,1,3,3,9,3720,660,1968,1990,98166,47.4734,-122.365,2460,18512,227.1689497716895,57
7558700030,20150413T000000,5300000.0,6,6.0,7390,24829,2.0,1,4,4,12,5000,2390,1991,0,98040,47.5631,-122.21,4320,24619,717.1853856562923,34
1925069082,20150511T000000,2200000.0,5,4.25,4640,22703,2.0,1,4,5,8,2860,1780,1952,0,98052,47.6393,-122.097,3140,14200,474.13793103448273,73
8073000550,20150415T000000,1700000.0,4,3.75,3190,17186,2.0,1,4,3,10,3190,0,1999,0,98178,47.5115,-122.246,2290,13496,532.9153605015674,26
8106100105,20141114T000000,3850000.0,4,4.25,5770,21300,2.0,1,4,4,11,5770,0,1980,0,98040,47.585,-122.222,4620,22748,667.2443674176776,45
1224059053,20141027T000000,1700000.0,5,2.0,2500,15250,2.0,1,4,5,8,2500,0,1942,0,98008,47.5883,-122.111,1880,18782,680.0,83
3343301920,20150302T000000,1650000.0,3,2.75,2690,8890,2.0,1,4,4,10,2690,0,1975,1991,98006,47.5487,-122.197,2940,8890,613.3828996282527,50
1724069062,20140714T000000,1365000.0,2,3.25,2700,3444,3.0,1,3,3,9,2700,0,1990,0,98075,47.5684,-122.06,2710,3444,505.55555555555554,35
7524900003,20141210T000000,3278000.0,2,1.75,6840,10000,2.5,1,4,3,11,4350,2490,2001,0,98008,47.6042,-122.112,3120,12300,479.2397660818713,24
7738500731,20140815T000000,4500000.0,5,5.5,6640,40014,2.0,1,4,3,12,6350,290,2004,0,98155,47.7493,-122.28,3030,23408,677.710843373494,21
4114601570,20141118T000000,3600000.0,3,3.25,5020,12431,2.0,1,4,3,10,3420,1600,1941,2002,98144,47.5925,-122.287,3680,12620,717.1314741035857,84
2322029048,20141119T000000,999000.0,3,2.75,2830,505166,1.0,1,3,4,8,1830,1000,1962,0,98070,47.3782,-122.514,2120,21988,353.0035335689046,63
1827200265,20140911T000000,1899000.0,2,2.75,3690,32044,2.0,1,4,3,12,3690,0,1989,0,98166,47.4485,-122.369,2310,26988,514.6341463414634,36
3343301910,20141020T000000,1000000.0,5,4.5,2120,8944,2.0,1,4,5,8,2120,0,1939,1963,98006,47.5488,-122.197,2870,8944,471.6981132075472,86
9808700762,20140611T000000,7062500.0,5,4.5,10040,37325,2.0,1,2,3,11,7680,2360,1940,2001,98004,47.65,-122.214,3930,25449,703.4362549800796,85
1269200229,20140723T000000,1379900.0,3,3.25,3786,38038,1.0,1,4,3,9,1934,1852,1978,2006,98070,47.3907,-122.448,2850,33361,364.4743792921289,47
724069059,20140509T000000,2400000.0,3,2.25,3000,11665,1.5,1,4,3,11,3000,0,2001,0,98075,47.5884,-122.086,3000,15959,800.0,24
1025039086,20140916T000000,1875000.0,3,2.5,3280,29111,2.0,1,3,3,11,3280,0,1925,0,98199,47.6699,-122.416,3530,21074,571.6463414634146,100
